project_id,project_name,client,agency,budget,deadline,status,owner
P001,Informatica Leadership Film,Informatica,Webenza,300000,2026-04-25,Editing,Cristin
P002,Webenza Brand Film,Webenza,Direct,150000,2026-04-18,Script,Cristin
